"source_url"	"tecapi_vector_ids"	"tecapi_vector_names"
"http://0b4af6cdc2f0c5998459-c0245c5c937c5dedcca3f1764ecc9b2f.r43.cf2.rackcdn.com/12311-sec13-paper_alfardan.pdf"	"183"	"RC4 Attack"
"http://2011.zeronights.org/files/vladimirvorontsov-splittingsmugglingandcachepoisoningcomeback-111202042017-phpapp02.pdf"	"103"	"HTTP Response Smuggling"
"http://adamdoupe.com/blog/2011/04/20/overview-of-execution-after-redirect-web-application-vulnerabilities/"	"93"	"Execution After Redirect"
"http://agile.csc.ncsu.edu/SEMaterials/5_LoggingRepudiation.pdf"	"123,159,160"	"Insufficient Logging Abuse; Log Repudiation Attack; Logging of Excessive Data"
"http://arstechnica.com/security/2013/02/lucky-thirteen-attack-snarfs-cookies-protected-by-ssl-encryption/"	"184"	"Lucky 13"
"http://bishankochher.blogspot.co.il/2011/12/nodejs-security-good-bad-and-ugly.html"	"6"	"SSJS Injection"
"http://blackhat.com/html/bh-dc-11/bh-dc-11-archives.html"	"252"	"Floating Point DoS"
"http://blog.acrossecurity.com/2011/05/binary-planting-vs-dll-hijacking-vs.html"	"121"	"Remote Binary Planting"
"http://blog.codeclimate.com/blog/2013/01/10/rails-remote-code-execution-vulnerability-explained/"	"38"	"RoR YAML Injection"
"http://blog.detectify.com/post/100600514143/hostile-subdomain-takeover-using-heroku-github-desk"	"287"	"Subdomain Takeover via Abuse of Subdomain Claims"
"http://blog.detectify.com/post/35839371373/local-file-inclusions-in-perl-cgi"	"85,86"	"Perl Local File Inclusion; Perl Remote File Inclusion"
"http://blog.dewhurstsecurity.com/2013/08/30/security-testing-html5-websockets.html"	"275"	"Unauthorized WebSocket Access"
"http://blog.h3xstream.com/2014/11/remote-code-execution-by-design.html"	"11,36"	"EL Injection; Java Injection"
"http://blog.imperva.com/2013/03/a-perfect-crime-only-time-will-tell.html"	"181"	"TIME"
"http://blog.imperva.com/2013/08/time-and-again-an-ssl-breach-before-breach-.html"	"181"	"TIME"
"http://blog.ircmaxell.com/2014/11/its-all-about-time.html"	"269"	"Remote Timing Attack"
"http://blog.iseclab.org/2010/12/08/http-parameter-pollution-so-how-many-flawed-applications-exist-out-there-we-go-online-with-a-new-service/"	"138"	"HPP"
"http://blog.kotowicz.net/2012/12/on-handling-your-pets-and-csrf.html"	"219"	"Anti-CSRF Verification Bypass"
"http://blog.malerisch.net/2012/12/maxthon-cross-context-scripting-xcs-about-history-rce.html"	"215"	"XCS"
"http://blog.mindedsecurity.com/2011/09/expression-language-injection.html"	"36"	"EL Injection"
"http://blog.opensecurityresearch.com/2011/11/captcha-hax-with-tessercap.html"	"148"	"OCR-assisted CAPTCHA Brute-forcing"
"http://blog.opensecurityresearch.com/2012/02/captcha-re-riding-attack.html"	"140"	"CAPTCHA Re-Riding"
"http://blog.opensecurityresearch.com/2012/08/bypassing-captchas-by-impersonating.html"	"150"	"CAPTCHA Clipping"
"http://blog.spiderlabs.com/2011/02/java-floating-point-dos-attack-protection.html"	"252"	"Floating Point DoS"
"http://blog.spiderlabs.com/2014/10/reflected-file-download-the-white-paper.html"	"102"	"RFD"
"http://blog.sucuri.net/2014/02/layer-7-ddos-blocking-http-flood-attacks.html"	"255"	"HTTP Flood"
"http://blog.watchfire.com/FPI.pdf"	"99"	"Flash Parameter Injection"
"http://blog.watchfire.com/FPI.ppt"	"99"	"Flash Parameter Injection"
"http://blog.watchfire.com/wfblog/2008/10/flash-parameter.html"	"99"	"Flash Parameter Injection"
"http://blogs.msdn.com/b/esiu/archive/2007/09/22/http-header-injection-vulnerabilities.aspx"	"101"	"HTTP Response Splitting"
"http://breachattack.com/"	"182"	"BREACH"
"http://breachattack.com/resources/BREACH - BH 2013 - PRESENTATION.pdf"	"182"	"BREACH"
"http://breachattack.com/resources/BREACH - SSL, gone in 30 seconds.pdf"	"182"	"BREACH"
"http://capec.mitre.org/data/definitions/1.html"	"69"	"Authorization Bypass via Forced Browsing"
"http://capec.mitre.org/data/definitions/100.html"	"220"	"Buffer Overflow"
"http://capec.mitre.org/data/definitions/101.html"	"5"	"SSI Injection"
"http://capec.mitre.org/data/definitions/102.html"	"201"	"Session Replay"
"http://capec.mitre.org/data/definitions/105.html"	"50"	"HTTP Request Smuggling"
"http://capec.mitre.org/data/definitions/106.html"	"94"	"XSS"
"http://capec.mitre.org/data/definitions/109.html"	"3"	"HQL Injection"
"http://capec.mitre.org/data/definitions/111.html"	"106"	"JSON Hijacking"
"http://capec.mitre.org/data/definitions/114.html"	"68"	"Authentication Bypass via Forced Browsing"
"http://capec.mitre.org/data/definitions/115.html"	"68"	"Authentication Bypass via Forced Browsing"
